Date,Close,High,Low,Open,Volume
01-01-2015,294.0238647,294.9836233,292.2712414,294.3576804,2583280
02-01-2015,302.3696899,303.3711929,293.7734675,293.7734675,8272990
05-01-2015,302.9956665,306.6261191,301.702064,304.8734955,10316090
06-01-2015,290.1430359,300.3667049,288.9328945,299.9494003,13282427
07-01-2015,282.2979431,288.9746205,279.9611214,288.4321385,21254332
08-01-2015,289.9761047,290.8524023,284.7599517,287.9313544,12558144
09-01-2015,285.3024292,292.4380991,281.3381619,292.062539,15701030
12-01-2015,289.2249756,290.1013012,282.6735036,286.0535727,8304115
13-01-2015,284.509552,291.2696895,283.5497936,291.2696895,13100848
14-01-2015,281.1713257,285.2607715,277.9164332,283.1325877,13127934
15-01-2015,294.4828796,297.1118006,290.0595909,293.8986532,16662989
16-01-2015,295.3174744,295.9434173,289.9761433,294.4828931,14726646
19-01-2015,301.1178589,301.9524402,295.0254069,296.6945695,10277015
20-01-2015,306.9181824,308.1700682,300.199788,300.199788,11477610
21-01-2015,307.5024109,309.58885,304.7482844,305.8749649,12457852
22-01-2015,308.6290894,310.7155565,304.2892613,307.877969,9320935
23-01-2015,309.3802185,313.386231,307.711056,312.8854654,13525550
27-01-2015,320.0628967,321.1478608,311.0493962,312.551665,13932787
28-01-2015,320.5218811,328.3252392,318.4771585,319.603839,14787690
29-01-2015,317.3921814,320.3132295,313.4279138,317.2252596,22085259
30-01-2015,301.0343628,318.8110073,295.985131,318.3519862,31372235
02-02-2015,293.6483154,301.0343692,292.1043303,300.7005255,37165959
03-02-2015,289.2667847,297.7795482,288.0148986,293.7735352,25975650
04-02-2015,287.6392517,289.8091794,283.9670836,288.8076765,15639435
05-02-2015,280.0863342,288.1817922,277.7077678,284.5096234,18771838
06-02-2015,274.8701477,283.7584695,273.4930846,280.4201448,17811770
09-02-2015,267.108551,273.3261798,265.8149207,273.3261798,15330887
10-02-2015,276.2889709,279.5855514,264.0622957,265.8149191,31301276
11-02-2015,279.3351746,283.7167186,278.7092317,278.8344091,13732188
12-02-2015,283.0491028,284.8851872,275.4126658,282.256266,14372362
13-02-2015,286.9716187,288.6825255,283.9253931,287.096796,9926537
16-02-2015,282.1310425,289.5588407,280.7539792,289.5588407,11084024
18-02-2015,285.7614441,287.0967626,283.5080555,283.5080555,8830098
19-02-2015,282.5483093,286.9715977,277.2904118,283.8419115,10326464
20-02-2015,276.2054749,280.2532031,274.1607245,279.5855158,17197010
23-02-2015,274.578064,279.1682747,272.9089015,277.9163889,12236793
24-02-2015,272.1160583,276.5810921,270.8224559,274.9953624,12177664
25-02-2015,269.1532593,276.2472134,268.1100118,273.4096261,18029910
26-02-2015,268.1517639,271.6152942,267.1919773,270.9893512,18356309
27-02-2015,279.7941895,281.2964299,269.5705214,270.9058681,17157486
02-03-2015,291.3114319,293.7317424,284.2174782,292.8137004,16237130
03-03-2015,290.9776611,291.687037,287.1802869,290.4351791,16309976
04-03-2015,291.5617981,302.1192812,288.8076721,300.450119,27007377
05-03-2015,290.2265015,292.0208693,283.8419508,289.099821,12677758
09-03-2015,277.7494812,286.2205273,276.8731835,285.4276625,13711772
10-03-2015,278.4588318,281.9223616,275.7047057,277.6659951,15690129
11-03-2015,277.6242676,281.212975,274.5780421,278.4171323,11762499
12-03-2015,282.2562561,283.508114,279.2934632,281.7137741,12265104
13-03-2015,275.5795593,288.7659647,274.5780563,287.9313835,14368069
16-03-2015,276.6228027,277.9164051,271.7822089,274.9953566,12496540
17-03-2015,279.4603577,280.8374208,275.5378065,277.0817915,11214858
18-03-2015,279.4186401,280.8791642,276.2889537,277.9998325,9603665
19-03-2015,275.5795593,284.9269024,274.0355743,283.3411729,15488184
20-03-2015,265.898407,274.7867302,264.3127053,274.4946309,23389273
23-03-2015,261.8923645,269.069779,260.7656562,268.7776798,11517028
24-03-2015,260.3066406,264.2709361,258.2619182,259.1382438,18209548
25-03-2015,264.4795837,266.232207,259.6389905,260.3901108,15109255
26-03-2015,257.0101013,261.8089507,252.5450677,259.5555616,34971712
27-03-2015,262.5183411,263.8954043,257.2604429,261.2247107,17383920
30-03-2015,265.981842,266.6495294,261.5168367,263.9788359,14140124
31-03-2015,263.3111877,269.3619229,261.892408,266.1487753,14317689
01-04-2015,269.6957397,270.7389592,262.1010202,262.8938849,9190830
06-04-2015,268.1100769,271.6153524,266.5243751,271.6153524,10512775
07-04-2015,264.8968811,269.946113,262.8939029,269.5288364,9849292
08-04-2015,262.977356,266.8164183,262.5183349,266.148759,9158573
09-04-2015,267.5675659,268.6525019,264.4795958,265.397638,13516230
10-04-2015,265.6480103,268.443853,264.7299682,266.6495133,9053218
13-04-2015,264.4795837,266.9833273,263.7284635,266.9833273,8810668
15-04-2015,262.8938599,268.9863103,261.2664141,265.6897024,11297754
16-04-2015,260.8074036,263.7284515,258.8461421,263.6449906,9682703
17-04-2015,258.8044128,262.8521414,257.2604278,262.1010211,11639567
20-04-2015,259.6807556,265.0638032,257.3021893,261.1412798,11663690
21-04-2015,259.4303284,264.2291767,258.6792082,259.5555057,9953639
22-04-2015,261.1829834,262.8938903,253.2127035,261.4333662,12256206
23-04-2015,260.2649536,263.645023,258.5123302,262.2679598,10352840
24-04-2015,257.260437,260.8491446,256.3006784,260.7656837,13482295
27-04-2015,252.2946625,260.7656799,247.6209909,259.3051838,24819034
28-04-2015,272.7836914,274.2442155,255.0487916,255.0487916,37447522
