Date,Close,High,Low,Open,Volume
01-01-2015,3032.034912,3049.50604,3013.429295,3013.429295,299232
02-01-2015,3049.143066,3070.380609,3040.883899,3049.506014,233924
05-01-2015,3129.192871,3148.751505,3064.073205,3069.473328,536747
06-01-2015,3081.498779,3121.205891,3069.926992,3121.205891,422743
07-01-2015,3120.071289,3139.312176,3069.518509,3085.809725,369241
08-01-2015,3154.332764,3185.236284,3125.743645,3144.803057,422022
09-01-2015,3147.707275,3183.557122,3112.991917,3176.568715,194054
12-01-2015,3142.897217,3161.729733,3126.787474,3149.341202,152803
13-01-2015,3147.75293,3190.182815,3142.171333,3161.866016,237771
14-01-2015,3191.090332,3204.704199,3141.445143,3151.020273,429069
15-01-2015,3290.743652,3302.406064,3212.872296,3222.265952,670686
16-01-2015,3282.394043,3290.01772,3260.112637,3281.168706,379075
19-01-2015,3291.151855,3305.900209,3281.122931,3292.467818,192537
20-01-2015,3272.36499,3300.001094,3253.260154,3283.664455,333315
21-01-2015,3298.821289,3349.011121,3260.067194,3288.202518,402419
22-01-2015,3264.832275,3310.892526,3260.15827,3310.892526,318883
23-01-2015,3273.408447,3303.404374,3244.637857,3298.185726,337571
27-01-2015,3347.105469,3362.353045,3253.850474,3308.124471,1278436
28-01-2015,3381.502686,3411.180868,3350.826065,3350.826065,672705
29-01-2015,3347.921631,3398.928199,3337.212013,3398.928199,603103
30-01-2015,3310.30249,3395.298308,3291.424551,3358.087073,284786
02-02-2015,3330.360352,3380.777085,3285.480013,3310.30272,319679
03-02-2015,3274.452637,3365.347797,3267.327958,3365.347797,220676
04-02-2015,3228.800537,3298.185828,3222.401976,3285.479553,203545
05-02-2015,3197.170898,3264.604957,3183.829355,3248.268318,379633
06-02-2015,3178.928711,3206.973188,3167.492974,3203.569721,198214
09-02-2015,3096.065918,3174.027914,3085.810093,3167.493301,286868
10-02-2015,3080.228516,3156.602227,3049.506465,3079.456974,547537
11-02-2015,3135.500244,3150.067125,3091.25518,3091.25518,341769
12-02-2015,3223.672607,3230.797286,3147.525806,3147.525806,436882
13-02-2015,3282.71167,3291.833005,3204.976579,3235.562355,321186
16-02-2015,3242.005859,3312.707109,3232.385306,3285.479379,260901
18-02-2015,3235.516602,3252.806255,3219.270811,3244.637936,161803
19-02-2015,3262.925781,3280.941552,3232.975277,3244.637911,214789
20-02-2015,3219.543213,3280.034068,3214.687512,3276.403704,240749
23-02-2015,3218.227295,3244.638285,3206.383408,3231.93201,163132
24-02-2015,3256.708984,3267.327755,3224.85245,3243.594338,143983
25-02-2015,3249.085449,3280.941987,3234.745686,3262.790164,173339
26-02-2015,3173.710205,3250.900655,3161.276029,3237.649957,429598
27-02-2015,3271.321045,3284.435913,3173.709806,3173.845856,378654
02-03-2015,3368.479004,3385.314863,3296.597832,3310.98324,386182
03-03-2015,3365.937988,3389.263259,3348.603129,3374.424055,206296
04-03-2015,3338.482422,3439.497338,3310.211053,3403.466022,340907
05-03-2015,3338.800781,3368.297492,3304.856963,3337.212497,152837
09-03-2015,3332.039551,3349.828205,3288.202852,3296.643495,218786
10-03-2015,3309.757813,3348.103536,3303.85847,3348.103536,182667
11-03-2015,3318.561035,3332.674119,3281.259178,3305.491814,198508
12-03-2015,3344.654297,3376.193084,3323.689078,3328.499133,308505
13-03-2015,3313.343018,3373.69783,3290.108817,3362.625262,363024
16-03-2015,3310.030273,3337.212583,3301.635055,3313.615214,182829
17-03-2015,3323.189941,3348.057847,3288.701483,3326.321086,185250
18-03-2015,3326.230469,3338.120001,3305.719043,3324.506134,177261
19-03-2015,3317.245117,3353.548757,3310.89198,3331.766573,252139
20-03-2015,3288.974609,3333.401156,3276.404382,3303.632119,206403
23-03-2015,3262.244873,3302.904993,3251.943849,3290.062669,192986
24-03-2015,3255.801514,3299.093564,3237.422794,3290.017653,227226
25-03-2015,3280.7146,3293.556924,3243.094997,3258.251722,201854
26-03-2015,3232.340332,3288.157186,3211.011941,3271.865969,489101
27-03-2015,3276.449219,3285.252808,3217.955018,3240.100152,204071
30-03-2015,3322.645752,3334.489861,3267.736488,3293.648259,152167
31-03-2015,3355.681885,3383.22714,3321.64722,3321.64722,294635
01-04-2015,3307.897461,3410.319212,3267.32818,3358.041873,694487
06-04-2015,3293.603027,3331.676434,3284.572539,3309.077502,262771
07-04-2015,3267.236816,3312.707215,3247.360662,3303.631305,306684
08-04-2015,3293.375488,3326.230239,3272.773216,3280.941536,256031
09-04-2015,3321.057129,3328.136383,3290.017559,3302.723834,238584
10-04-2015,3327.773438,3347.513543,3297.641237,3321.783248,201302
13-04-2015,3326.502686,3339.935077,3306.127311,3322.690847,218690
15-04-2015,3340.162598,3384.40767,3313.070911,3317.245919,232802
16-04-2015,3338.029297,3375.059059,3323.825584,3336.53186,206305
17-04-2015,3309.802979,3342.566881,3300.318697,3327.364732,99056
20-04-2015,3274.634277,3311.255447,3253.351309,3291.833085,175033
21-04-2015,3167.62915,3273.908162,3149.341277,3271.866082,482786
22-04-2015,3142.942871,3183.920746,3073.194621,3168.446272,422446
23-04-2015,3171.531738,3208.833822,3158.417091,3167.493002,234616
24-04-2015,3214.143066,3235.562305,3116.758718,3163.862608,332449
27-04-2015,3311.255371,3343.565704,3194.902233,3233.928652,1804129
28-04-2015,3469.357666,3484.060597,3321.783271,3325.413636,1129937
29-04-2015,3418.169434,3515.100204,3400.425984,3484.242108,703698
30-04-2015,3381.54834,3442.492993,3367.117509,3412.542487,592304
04-05-2015,3410.500488,3485.149857,3382.365164,3446.123439,478823
05-05-2015,3442.538574,3453.384244,3391.259675,3406.189505,458196
06-05-2015,3298.685303,3437.955114,3288.701801,3437.955114,430929
07-05-2015,3216.139648,3290.92506,3194.720412,3290.92506,469950
08-05-2015,3276.903076,3285.479768,3232.340265,3232.340265,495595
11-05-2015,3314.250732,3334.853008,3281.985821,3298.095565,288810
12-05-2015,3246.861572,3315.384697,3226.486197,3312.707348,332314
13-05-2015,3271.049072,3296.370775,3216.865708,3285.479682,337505
14-05-2015,3309.530762,3315.883899,3223.763408,3271.820309,287801
15-05-2015,3331.948242,3343.565452,3290.925171,3303.631446,208258
18-05-2015,3355.908691,3363.895315,3314.522452,3335.397045,183483
19-05-2015,3364.213135,3385.223779,3344.473029,3353.54894,175567
20-05-2015,3368.887207,3403.421092,3364.440099,3364.530947,218115
21-05-2015,3356.362549,3385.223767,3350.326935,3368.887128,198709
22-05-2015,3360.401611,3384.225879,3353.186306,3360.809983,135158
25-05-2015,3351.50708,3373.516165,3340.842885,3354.638225,81113
26-05-2015,3382.093018,3385.31501,3332.674723,3354.456911,252919
27-05-2015,3377.962646,3403.466041,3357.178902,3358.086493,283565
28-05-2015,3366.164551,3393.437708,3354.502138,3381.684447,317937
29-05-2015,3435.867432,3438.817103,3351.779209,3376.238743,432656
01-06-2015,3524.040039,3538.652122,3425.611611,3436.048908,571376
02-06-2015,3477.344238,3528.078711,3462.505258,3521.453252,329350
03-06-2015,3428.15332,3466.998267,3405.282067,3453.384399,277700
04-06-2015,3423.479248,3460.645061,3400.744045,3447.938785,193996
05-06-2015,3412.043213,3448.755227,3404.374113,3420.710752,253728
08-06-2015,3379.415283,3452.975582,3372.60835,3436.139724,303682
09-06-2015,3351.098877,3382.546822,3336.123623,3367.163196,209963
10-06-2015,3396.705078,3402.468149,3352.777536,3360.764382,239272
11-06-2015,3359.357178,3429.740903,3350.236066,3405.326794,226654
12-06-2015,3391.486816,3408.004932,3354.003256,3359.085855,173412
15-06-2015,3419.258301,3439.679099,3386.222076,3392.121418,175936
16-06-2015,3439.407471,3458.421461,3398.656496,3419.25877,228783
17-06-2015,3456.787598,3471.445105,3442.493038,3453.384131,291820
18-06-2015,3504.300049,3532.299101,3459.737238,3460.644829,232645
19-06-2015,3573.503662,3584.530805,3505.116589,3520.545636,309290
22-06-2015,3612.802002,3625.735174,3589.567805,3589.567805,230791
23-06-2015,3645.929932,3656.23118,3589.795548,3614.028189,330957
24-06-2015,3638.804932,3662.719823,3618.61103,3652.146476,306048
25-06-2015,3658.953369,3670.025936,3615.479846,3615.842794,240888
26-06-2015,3693.850586,3700.612096,3635.946226,3653.961999,291925
29-06-2015,3624.283203,3653.734487,3595.058817,3648.515839,344044
30-06-2015,3651.556641,3684.819765,3616.977332,3616.977332,340789
01-07-2015,3659.134766,3711.911318,3653.961541,3662.039013,380963
02-07-2015,3624.374268,3674.836422,3613.256276,3658.953578,322025
03-07-2015,3629.365723,3648.515982,3609.580415,3624.373972,279389
06-07-2015,3619.427734,3634.902206,3607.719898,3616.659537,332811
07-07-2015,3605.087891,3633.813282,3590.158061,3620.380889,287981
08-07-2015,3584.077637,3602.229461,3545.958806,3584.985228,252360
09-07-2015,3571.960693,3601.230505,3565.471506,3584.984714,128065
10-07-2015,3570.826172,3595.875774,3556.75851,3584.712359,184572
13-07-2015,3662.356934,3666.667991,3575.908883,3592.880792,335198
14-07-2015,3676.33374,3683.866791,3648.652212,3675.471573,251002
15-07-2015,3768.454346,3793.685645,3694.803416,3694.803416,551469
16-07-2015,3792.05127,3802.806312,3771.948217,3781.024127,321651
17-07-2015,3805.530029,3838.158111,3779.300731,3799.176891,241023
20-07-2015,3790.14502,3829.126228,3776.576801,3819.142728,207897
21-07-2015,3769.089355,3807.299025,3758.742907,3790.962387,146004
22-07-2015,3803.850098,3810.974776,3751.981358,3757.245209,305466
23-07-2015,3842.7854,3853.177494,3805.57417,3810.883666,229845
24-07-2015,3842.921875,3868.061879,3816.782989,3846.325341,226189
27-07-2015,3792.006348,3849.592735,3781.56905,3849.592735,220316
28-07-2015,3809.114746,3850.001549,3767.9554,3819.052603,940179
29-07-2015,3878.772217,3911.263801,3785.74413,3834.481506,819323
30-07-2015,3899.419434,3918.977842,3885.442178,3911.717114,294361
31-07-2015,3931.185059,3956.189012,3888.301386,3899.918373,297226
03-08-2015,4017.950439,4028.796329,3975.248461,3975.248461,341893
04-08-2015,4028.614746,4042.365104,4003.792487,4037.872352,313075
05-08-2015,4058.430176,4069.639016,4013.595258,4045.134053,198485
06-08-2015,4040.685791,4064.510054,4020.673145,4048.763262,184121
07-08-2015,4041.457764,4055.298527,4020.719219,4039.415684,144268
10-08-2015,4081.572998,4091.375247,4035.149805,4056.93199,241899
11-08-2015,4088.0625,4115.018133,4052.439549,4093.235947,216773
12-08-2015,4088.0625,4088.0625,4088.0625,4088.0625,0
13-08-2015,4077.670166,4104.761845,4020.764035,4063.284761,261773
14-08-2015,4149.959961,4164.935213,4075.537497,4092.781726,181419
17-08-2015,4129.35791,4163.120477,4116.379534,4161.260093,157066
18-08-2015,4205.776855,4218.48313,4116.832934,4134.077164,172443
19-08-2015,4240.129395,4253.87931,4180.092334,4199.423847,255128
20-08-2015,4205.913086,4258.780266,4176.053428,4202.146672,279387
21-08-2015,4145.286621,4187.489611,4110.480411,4184.902887,310480
24-08-2015,3849.819824,4041.094652,3818.734828,3948.02136,930804
25-08-2015,3810.975342,3965.265841,3686.726199,3901.734459,915511
26-08-2015,3841.150146,3886.208119,3753.819201,3831.974403,612412
